title,tags,vote_average,popularity
Avatar,action adventure fantasy science fiction culture clash future space war space colony society sam worthington zoe saldana sigourney weaver stephen lang michelle rodriguez james cameron in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,7.2,150.437577
Pirates of the Caribbean: At World's End,adventure fantasy action ocean drug abuse exotic island east india trading company love of one s life johnny depp orlando bloom keira knightley stellan skarsg u00e5rd chow yun fat gore verbinski captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems,6.9,139.082615
Spectre,action adventure crime spy based on novel secret agent sequel mi6 daniel craig christoph waltz l u00e9a seydoux ralph fiennes monica bellucci sam mendes a cryptic message from bond s past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre,6.3,107.376788
The Dark Knight Rises,action crime drama thriller dc comics crime fighter terrorist secret identity burglar christian bale michael caine gary oldman anne hathaway tom hardy christopher nolan following the death of district attorney harvey dent batman assumes responsibility for dent s crimes to protect the late attorney s reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gotham s finest the dark knight resurfaces to protect a city that has branded him an enemy,7.6,112.31295
John Carter,action adventure science fiction based on novel mars medallion space travel princess taylor kitsch lynn collins samantha morton willem dafoe thomas haden church andrew stanton john carter is a war weary former military captain who s inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict it s a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands,6.1,43.926995
Spider-Man 3,fantasy action adventure dual identity amnesia sandstorm love of one s life forgiveness tobey maguire kirsten dunst james franco thomas haden church topher grace sam raimi the seemingly invincible spider man goes up against an all new crop of villain including the shape shifting sandman while spider man s superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle,5.9,115.699814
Tangled,animation family hostage magic horse fairy tale musical zachary levi mandy moore donna murphy ron perlman m c gainey byron howard when the kingdom s most wanted and most charming bandit flynn rider hides out in a mysterious tower he s taken hostage by rapunzel a beautiful and feisty tower bound teen with 70 feet of magical golden hair flynn s curious captor who s looking for her ticket out of the tower where she s been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an action packed escapade complete with a super cop horse an over protective chameleon and a gruff gang of pub thugs,7.4,48.681969
Avengers: Age of Ultron,action adventure science fiction marvel comic sequel superhero based on comic book vision robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson joss whedon when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earth s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,7.3,134.27922900000002
Harry Potter and the Half-Blood Prince,adventure fantasy family witch magic broom school of witchcraft wizardry daniel radcliffe rupert grint emma watson tom felton michael gambon david yates as harry begins his sixth year at hogwarts he discovers an old book marked as property of the half blood prince and begins to learn more about lord voldemort s dark past,7.4,98.885637
Batman v Superman: Dawn of Justice,action adventure fantasy dc comics vigilante superhero based on comic book revenge ben affleck henry cavill gal gadot amy adams jesse eisenberg zack snyder fearing the actions of a god like super hero left unchecked gotham city s own formidable forceful vigilante takes on metropolis s most revered modern day savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than it s ever known before,5.7,155.790452
